name,url,remote_testing,adaptive_support,duration_minutes,test_type,search_text,test_type,job_levels,languages,description
Branch Manager - Short Form,https://www.shl.com/solutions/products/product-catalog/view/branch-manager-short-form/,Yes,No,50.0,"Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior","Branch Manager - Short Form. This solution is for mid to upper-level financial institution managerial positions. Candidates answer a series of multiple choice questions to measure management potential, management judgment, leadership potential, team management, branch manager problem solving, business leadership, leadership motivation, interpersonal leadership, self leadership, and branch manager judgment. There are multiple configurations and versions of this solution available.. Job Levels: Front Line Manager, Manager, Supervisor. Test Includes: Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior. Duration: 50 minutes. Remote: Yes. Adaptive: No","A, B, P","Front Line Manager, Manager, Supervisor",English (USA),"This solution is for mid to upper-level financial institution managerial positions. Candidates answer a series of multiple choice questions to measure management potential, management judgment, leadership potential, team management, branch manager problem solving, business leadership, leadership motivation, interpersonal leadership, self leadership, and branch manager judgment. There are multiple configurations and versions of this solution available."
Cashier Solution,https://www.shl.com/solutions/products/product-catalog/view/cashier-solution/,Yes,Yes,28.0,"Biodata & Situational Judgement, Ability & Aptitude, Personality & Behavior","Cashier Solution. The Cashier solution is for entry-level retail positions in which employees receive payment in the form of cash, check, or credit cards for goods purchased. Sample tasks for these jobs include, but are not limited to: handling payments, offering customer service, and issuing receipts and refunds. Potential job titles that use this solution are: Cashier, Sales Associate, and Clerk. There are multiple configurations and versions of this solution available.. Job Levels: Entry-Level. Test Includes: Biodata & Situational Judgement, Ability & Aptitude, Personality & Behavior. Duration: 28 minutes. Remote: Yes. Adaptive: Yes","B, A, P",Entry-Level,English (USA),"The Cashier solution is for entry-level retail positions in which employees receive payment in the form of cash, check, or credit cards for goods purchased. Sample tasks for these jobs include, but are not limited to: handling payments, offering customer service, and issuing receipts and refunds. Potential job titles that use this solution are: Cashier, Sales Associate, and Clerk. There are multiple configurations and versions of this solution available."
Adobe Experience Manager (New),https://www.shl.com/solutions/products/product-catalog/view/adobe-experience-manager-new/,Yes,No,17.0,Knowledge & Skills,"Adobe Experience Manager (New). Multi-choice test that measures the knowledge of AEM components, templates, workflows, AEM collections, OSGi services and troubleshooting of AEM projects.. Job Levels: Mid-Professional, Professional Individual Contributor. Test Includes: Knowledge & Skills. Duration: 17 minutes. Remote: Yes. Adaptive: No",K,"Mid-Professional, Professional Individual Contributor",English (USA),"Multi-choice test that measures the knowledge of AEM components, templates, workflows, AEM collections, OSGi services and troubleshooting of AEM projects."
Adobe Photoshop CC,https://www.shl.com/solutions/products/product-catalog/view/adobe-photoshop-cc/,Yes,Yes,20.0,Knowledge & Skills,"Adobe Photoshop CC. The Adobe Photoshop CC test measures knowledge of Adobe Photoshop CC. Designed for experienced users, this test covers the following topics: 3D, Color, File Management, Interface, Layers, Painting and Drawing, Retouch and Enhancements, Selection, Text, and Web.. Job Levels: Mid-Professional, Professional Individual Contributor. Test Includes: Knowledge & Skills. Duration: 20 minutes. Remote: Yes. Adaptive: Yes",K,"Mid-Professional, Professional Individual Contributor",English (USA),"The Adobe Photoshop CC test measures knowledge of Adobe Photoshop CC. Designed for experienced users, this test covers the following topics: 3D, Color, File Management, Interface, Layers, Painting and Drawing, Retouch and Enhancements, Selection, Text, and Web."
Aeronautical Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/aeronautical-engineering-new/,Yes,No,10.0,Knowledge & Skills,"Aeronautical Engineering (New). Multi-choice test that measures the knowledge of flight mechanics, space dynamics, aerodynamics, structures and propulsion.. Job Levels: Graduate, Mid-Professional, Professional Individual Contributor. Test Includes: Knowledge & Skills. Duration: 10 minutes. Remote: Yes. Adaptive: No",K,"Graduate, Mid-Professional, Professional Individual Contributor",English (USA),"Multi-choice test that measures the knowledge of flight mechanics, space dynamics, aerodynamics, structures and propulsion."
Aerospace Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/aerospace-engineering-new/,Yes,No,10.0,Knowledge & Skills,"Aerospace Engineering (New). Multi-choice test that measures the conceptual knowledge of aerodynamics, aircraft systems and instrumentation, flight dynamics, space dynamics and avionics.. Job Levels: Graduate, Mid-Professional, Professional Individual Contributor. Test Includes: Knowledge & Skills. Duration: 10 minutes. Remote: Yes. Adaptive: No",K,"Graduate, Mid-Professional, Professional Individual Contributor",English (USA),"Multi-choice test that measures the conceptual knowledge of aerodynamics, aircraft systems and instrumentation, flight dynamics, space dynamics and avionics."
Agile Software Development,https://www.shl.com/solutions/products/product-catalog/view/agile-software-development/,Yes,No,7.0,Knowledge & Skills,"Agile Software Development. Multi-choice test that measures the knowledge of agile methodology, scrum, feature driven software development, incremental and iterative development and processes involved in agile software development.. Job Levels: Graduate. Test Includes: Knowledge & Skills. Duration: 7 minutes. Remote: Yes. Adaptive: No",K,Graduate,English (USA),"Multi-choice test that measures the knowledge of agile methodology, scrum, feature driven software development, incremental and iterative development and processes involved in agile software development."
Agile Testing (New),https://www.shl.com/solutions/products/product-catalog/view/agile-testing-new/,Yes,No,13.0,Knowledge & Skills,"Agile Testing (New). Multi-choice test that measures the knowledge of tools, techniques and processes involved in the Agile testing methodology.. Job Levels: Mid-Professional, Professional Individual Contributor. Test Includes: Knowledge & Skills. Duration: 13 minutes. Remote: Yes. Adaptive: No",K,"Mid-Professional, Professional Individual Contributor",English (USA),"Multi-choice test that measures the knowledge of tools, techniques and processes involved in the Agile testing methodology."
AI Skills,https://www.shl.com/solutions/products/product-catalog/view/ai-skills/,Yes,No,16.0,Personality & Behavior,AI Skills. The AI Skills assessment measures the skills that help candidates successfully leverage AI in their work.. Job Levels: General Population. Test Includes: Personality & Behavior. Duration: 16 minutes. Remote: Yes. Adaptive: No,P,General Population,English (USA),The AI Skills assessment measures the skills that help candidates successfully leverage AI in their work.
Amazon Web Services (AWS) Development (New),https://www.shl.com/solutions/products/product-catalog/view/amazon-web-services-aws-development-new/,Yes,No,,Knowledge & Skills,"Amazon Web Services (AWS) Development (New). Multi-choice test that measures the knowledge of AWS delivery process, monitoring, metrics, logging, security, validation and scalability.. Job Levels: Mid-Professional, Professional Individual Contributor. Test Includes: Knowledge & Skills. Duration: Not Specified. Remote: Yes. Adaptive: No",K,"Mid-Professional, Professional Individual Contributor",English (USA),"Multi-choice test that measures the knowledge of AWS delivery process, monitoring, metrics, logging, security, validation and scalability."
Android Development (New),https://www.shl.com/solutions/products/product-catalog/view/android-development-new/,Yes,No,,Knowledge & Skills,"Android Development (New). Multi-choice test that measures the knowledge of UI components for an Android device, services and alerts, animation and media apps, application components, security and testing.. Job Levels: Mid-Professional, Professional Individual Contributor. Test Includes: Knowledge & Skills. Duration: Not Specified. Remote: Yes. Adaptive: No",K,"Mid-Professional, Professional Individual Contributor",English (USA),"Multi-choice test that measures the knowledge of UI components for an Android device, services and alerts, animation and media apps, application components, security and testing."
Angular 6 (New),https://www.shl.com/solutions/products/product-catalog/view/angular-6-new/,Yes,No,11.0,Knowledge & Skills,"Angular 6 (New). Multi-choice test that measures the knowledge of the basic components and modules of Angular 6 and concepts like data binding, dependency injection, CRUD with HTTP, typescript, routing and navigation.. Job Levels: Mid-Professional, Professional Individual Contributor. Test Includes: Knowledge & Skills. Duration: 11 minutes. Remote: Yes. Adaptive: No",K,"Mid-Professional, Professional Individual Contributor",English (USA),"Multi-choice test that measures the knowledge of the basic components and modules of Angular 6 and concepts like data binding, dependency injection, CRUD with HTTP, typescript, routing and navigation."
AngularJS (New),https://www.shl.com/solutions/products/product-catalog/view/angularjs-new/,Yes,No,,Knowledge & Skills,"AngularJS (New). Multi-choice test that measures the knowledge of AngularJS architecture, forms, directives, filters, controllers, routing and testing.. Job Levels: Mid-Professional, Professional Individual Contributor. Test Includes: Knowledge & Skills. Duration: Not Specified. Remote: Yes. Adaptive: No",K,"Mid-Professional, Professional Individual Contributor",English (USA),"Multi-choice test that measures the knowledge of AngularJS architecture, forms, directives, filters, controllers, routing and testing."
Apache Hadoop (New),https://www.shl.com/solutions/products/product-catalog/view/apache-hadoop-new/,Yes,No,,Knowledge & Skills,"Apache Hadoop (New). Multi-choice test that measures the knowledge of basic concepts of Hadoop, commands, HDFS and MapReduce.. Job Levels: Mid-Professional, Professional Individual Contributor. Test Includes: Knowledge & Skills. Duration: Not Specified. Remote: Yes. Adaptive: No",K,"Mid-Professional, Professional Individual Contributor",English (USA),"Multi-choice test that measures the knowledge of basic concepts of Hadoop, commands, HDFS and MapReduce."
Apache Hadoop Extensions (New),https://www.shl.com/solutions/products/product-catalog/view/apache-hadoop-extensions-new/,Yes,No,,Knowledge & Skills,"Apache Hadoop Extensions (New). Multi-choice test that measures the conceptual knowledge of Pig, Hive and HBase.. Job Levels: Mid-Professional, Professional Individual Contributor. Test Includes: Knowledge & Skills. Duration: Not Specified. Remote: Yes. Adaptive: No",K,"Mid-Professional, Professional Individual Contributor",English (USA),"Multi-choice test that measures the conceptual knowledge of Pig, Hive and HBase."
Apache HBase (New),https://www.shl.com/solutions/products/product-catalog/view/apache-hbase-new/,Yes,No,,Knowledge & Skills,"Apache HBase (New). Multi-choice test that measures the knowledge of HBase concepts such as CAP theorem, ACID properties, HBase client API, MapReduce integration, configuration and administration.. Job Levels: Mid-Professional, Professional Individual Contributor. Test Includes: Knowledge & Skills. Duration: Not Specified. Remote: Yes. Adaptive: No",K,"Mid-Professional, Professional Individual Contributor",English (USA),"Multi-choice test that measures the knowledge of HBase concepts such as CAP theorem, ACID properties, HBase client API, MapReduce integration, configuration and administration."
Apache Hive (New),https://www.shl.com/solutions/products/product-catalog/view/apache-hive-new/,Yes,No,,Knowledge & Skills,"Apache Hive (New). Multi-choice test that measures the knowledge of Hive architecture, datatypes, built-in functions, configurations, partitioning, bucketing and commands of Hive query language.. Job Levels: Mid-Professional, Professional Individual Contributor. Test Includes: Knowledge & Skills. Duration: Not Specified. Remote: Yes. Adaptive: No",K,"Mid-Professional, Professional Individual Contributor",English (USA),"Multi-choice test that measures the knowledge of Hive architecture, datatypes, built-in functions, configurations, partitioning, bucketing and commands of Hive query language."
Apache Kafka (New),https://www.shl.com/solutions/products/product-catalog/view/apache-kafka-new/,Yes,No,,Knowledge & Skills,"Apache Kafka (New). Multi-choice test that measures the knowledge of Apache Kafka architecture, components, clusters, performance tuning and advanced operations.. Job Levels: Mid-Professional, Professional Individual Contributor. Test Includes: Knowledge & Skills. Duration: Not Specified. Remote: Yes. Adaptive: No",K,"Mid-Professional, Professional Individual Contributor",English (USA),"Multi-choice test that measures the knowledge of Apache Kafka architecture, components, clusters, performance tuning and advanced operations."
Apache Pig (New),https://www.shl.com/solutions/products/product-catalog/view/apache-pig-new/,Yes,No,,Knowledge & Skills,"Apache Pig (New). Multi-choice test that measures the knowledge of Pig architecture, built-in operators, built-in functions and commands in PigLatin.. Job Levels: Mid-Professional, Professional Individual Contributor. Test Includes: Knowledge & Skills. Duration: Not Specified. Remote: Yes. Adaptive: No",K,"Mid-Professional, Professional Individual Contributor",English (USA),"Multi-choice test that measures the knowledge of Pig architecture, built-in operators, built-in functions and commands in PigLatin."
Apache Spark (New),https://www.shl.com/solutions/products/product-catalog/view/apache-spark-new/,Yes,No,,Knowledge & Skills,"Apache Spark (New). Multi-choice test that measures the knowledge of Apache Spark principles, RDD operations - actions and transformations, lineage graphs and lazy evaluation.. Job Levels: Mid-Professional, Professional Individual Contributor. Test Includes: Knowledge & Skills. Duration: Not Specified. Remote: Yes. Adaptive: No",K,"Mid-Professional, Professional Individual Contributor",English (USA),"Multi-choice test that measures the knowledge of Apache Spark principles, RDD operations - actions and transformations, lineage graphs and lazy evaluation."
ASP .NET with C# (New),https://www.shl.com/solutions/products/product-catalog/view/asp-net-with-c-new/,Yes,No,13.0,Knowledge & Skills,"ASP .NET with C# (New). Multi-choice test that measures the knowledge of .NET framework and controls, C# fundamentals, OOPs concepts and advanced topics such as data access components, state management and security services.. Job Levels: Mid-Professional, Professional Individual Contributor. Test Includes: Knowledge & Skills. Duration: 13 minutes. Remote: Yes. Adaptive: No",K,"Mid-Professional, Professional Individual Contributor",English (USA),"Multi-choice test that measures the knowledge of .NET framework and controls, C# fundamentals, OOPs concepts and advanced topics such as data access components, state management and security services."
ASP.NET 4.5,https://www.shl.com/solutions/products/product-catalog/view/asp-net-4-5/,Yes,Yes,30.0,Knowledge & Skills,"ASP.NET 4.5. The ASP.NET 4.5 test measures knowledge of programming in the ASP.NET environment. Designed for experienced developers, but an average performer in this role should pass this test. This test includes the following topics: .NET Framework, Client-Side Programming, Data Access, Enhanced Runtime Features, Portals, Services and Mobile, Security, Troubleshooting and Optimization, Web Applications, and Web Forms.. Job Levels: Mid-Professional, Professional Individual Contributor. Test Includes: Knowledge & Skills. Duration: 30 minutes. Remote: Yes. Adaptive: Yes",K,"Mid-Professional, Professional Individual Contributor",English (USA),"The ASP.NET 4.5 test measures knowledge of programming in the ASP.NET environment. Designed for experienced developers, but an average performer in this role should pass this test. This test includes the following topics: .NET Framework, Client-Side Programming, Data Access, Enhanced Runtime Features, Portals, Services and Mobile, Security, Troubleshooting and Optimization, Web Applications, and Web Forms."
Assessment and Development Center Exercises,https://www.shl.com/solutions/products/product-catalog/view/assessment-and-development-center-exercises/,Yes,No,,Assessment Exercises,"Assessment and Development Center Exercises. SHL offers a comprehensive range of Assessment and Development Centre exercise in digital format, for remote assessment through our Virtual Assessment and Development Centre platform.We offer a wide range of exercise types including group exercise, role plays, analysis presentations and written exercises.Exercises are available across a wide range of job levels and industry contexts.Contact SHL to find out more.. Job Levels: Director, Entry-Level, Executive, Front Line Manager, General Population, Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor. Test Includes: Assessment Exercises. Duration: Not Specified. Remote: Yes. Adaptive: No",E,"Director, Entry-Level, Executive, Front Line Manager, General Population, Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor","English International, English (USA)","SHL offers a comprehensive range of Assessment and Development Centre exercise in digital format, for remote assessment through our Virtual Assessment and Development Centre platform.We offer a wide range of exercise types including group exercise, role plays, analysis presentations and written exercises.Exercises are available across a wide range of job levels and industry contexts.Contact SHL to find out more."
Automata - Fix (New),https://www.shl.com/solutions/products/product-catalog/view/automata-fix-new/,Yes,No,20.0,Simulations,"Automata - Fix (New). A simulated compiler integrated test to measure debugging skills in C, C++ and Java. The test checks the ability to fix logical or syntactical errors and to reuse an existing code.Your use of this assessment product may be subject to New York City Law 144 (Regulation of the Use of Automated Employment Decision Tools) (dated July 5, 2023). Compliance with Law 144 is your responsibility.
Read more on https://www.shl.com/legal/shl-us-regulatory-compliance/. Job Levels: Mid-Professional. Test Includes: Simulations. Duration: 20 minutes. Remote: Yes. Adaptive: No",S,Mid-Professional,English (USA),"A simulated compiler integrated test to measure debugging skills in C, C++ and Java. The test checks the ability to fix logical or syntactical errors and to reuse an existing code.Your use of this assessment product may be subject to New York City Law 144 (Regulation of the Use of Automated Employment Decision Tools) (dated July 5, 2023). Compliance with Law 144 is your responsibility.
Read more on https://www.shl.com/legal/shl-us-regulatory-compliance/"
Automata - SQL (New),https://www.shl.com/solutions/products/product-catalog/view/automata-sql-new/,Yes,No,30.0,Simulations,"Automata - SQL (New). A simulated query writing test that measures the ability to write SQL queries to perform DDL, DML and DCL tasks.. Job Levels: Mid-Professional, Professional Individual Contributor. Test Includes: Simulations. Duration: 30 minutes. Remote: Yes. Adaptive: No",S,"Mid-Professional, Professional Individual Contributor",English (USA),"A simulated query writing test that measures the ability to write SQL queries to perform DDL, DML and DCL tasks."
Automata (New),https://www.shl.com/solutions/products/product-catalog/view/automata-new/,Yes,No,45.0,Simulations,"Automata (New). An AI-powered coding simulation assessment that evaluates candidate’s programming ability. Offers a familiar IDE environment available in over 40 different programming languages and tests candidates using real-world coding problems.Your use of this assessment product may be subject to New York City Law 144 (Regulation of the Use of Automated Employment Decision Tools) (dated July 5, 2023). Compliance with Law 144 is your responsibility.
Read more on https://www.shl.com/legal/shl-us-regulatory-compliance/. Job Levels: Mid-Professional, Professional Individual Contributor. Test Includes: Simulations. Duration: 45 minutes. Remote: Yes. Adaptive: No",S,"Mid-Professional, Professional Individual Contributor",English (USA),"An AI-powered coding simulation assessment that evaluates candidate’s programming ability. Offers a familiar IDE environment available in over 40 different programming languages and tests candidates using real-world coding problems.Your use of this assessment product may be subject to New York City Law 144 (Regulation of the Use of Automated Employment Decision Tools) (dated July 5, 2023). Compliance with Law 144 is your responsibility.
Read more on https://www.shl.com/legal/shl-us-regulatory-compliance/"
Automata Data Science (New),https://www.shl.com/solutions/products/product-catalog/view/automata-data-science-new/,Yes,No,60.0,Simulations,"Automata Data Science (New). A simulated test that measures the ability to analyze and modify data using machine learning algorithms to obtain desirable results.. Job Levels: Mid-Professional, Professional Individual Contributor. Test Includes: Simulations. Duration: 60 minutes. Remote: Yes. Adaptive: No",S,"Mid-Professional, Professional Individual Contributor",English (USA),A simulated test that measures the ability to analyze and modify data using machine learning algorithms to obtain desirable results.
